,cluster_id,seqlength,zhu_cluster
476,1,47,0.0
477,1,48,0.0
478,1,53,0.0
479,1,41,0.0
480,1,52,0.0
481,1,55,0.0
482,1,51,0.0
483,1,59,0.0
484,1,51,0.0
485,1,46,0.0
486,1,55,0.0
487,1,56,0.0
488,1,54,0.0
489,1,56,0.0
490,1,58,0.0
491,1,63,0.0
492,1,52,0.0
493,1,67,0.0
494,1,50,0.0
495,1,55,0.0
496,1,52,0.0
497,1,53,0.0
498,1,47,0.0
499,1,57,0.0
500,1,61,0.0
501,1,53,0.0
502,1,58,0.0
503,1,47,0.0
504,1,52,0.0
505,1,54,0.0
506,1,56,0.0
507,1,46,0.0
508,1,42,0.0
509,1,42,0.0
510,1,51,0.0
511,1,47,0.0
512,1,45,0.0
513,1,50,0.0
514,1,57,0.0
515,1,54,0.0
516,1,39,0.0
517,1,60,0.0
518,1,56,0.0
519,1,50,0.0
520,1,53,0.0
521,1,51,0.0
522,1,60,0.0
523,1,34,0.0
524,1,48,0.0
525,1,51,0.0
526,1,43,0.0
527,1,56,0.0
528,1,57,0.0
529,1,67,0.0
530,1,40,0.0
531,1,49,0.0
532,1,50,0.0
533,1,59,0.0
534,1,51,0.0
535,1,60,0.0
536,1,55,0.0
537,1,62,0.0
538,1,46,0.0
539,1,60,0.0
540,1,58,0.0
541,1,56,0.0
542,1,71,0.0
543,1,58,0.0
544,1,56,0.0
545,1,56,0.0
546,1,47,0.0
547,1,53,0.0
548,1,50,0.0
549,1,47,0.0
550,1,55,0.0
551,1,45,0.0
552,1,39,0.0
553,1,53,0.0
554,1,48,0.0
555,1,49,0.0
556,1,49,0.0
557,1,61,0.0
558,1,42,0.0
559,1,48,0.0
560,1,55,0.0
561,1,49,0.0
562,1,52,0.0
563,1,40,0.0
564,1,47,0.0
565,1,47,0.0
566,1,44,0.0
567,1,60,0.0
568,1,50,0.0
569,1,48,0.0
570,1,59,0.0
571,1,55,0.0
572,1,67,0.0
573,1,42,0.0
574,1,57,0.0
575,1,51,0.0
576,1,61,0.0
577,1,56,0.0
578,1,58,0.0
579,1,52,0.0
580,1,48,0.0
581,1,56,0.0
582,1,41,0.0
583,1,62,0.0
584,1,51,0.0
585,1,53,0.0
586,1,51,0.0
587,1,50,0.0
588,1,52,0.0
589,1,64,0.0
590,1,43,0.0
591,1,53,0.0
592,1,50,0.0
593,1,66,0.0
594,1,55,0.0
595,1,48,0.0
596,1,49,0.0
597,1,53,0.0
598,1,50,0.0
599,1,46,0.0
600,1,57,0.0
601,1,46,0.0
602,1,54,0.0
603,1,38,0.0
604,1,47,0.0
605,1,62,0.0
606,1,63,0.0
607,1,48,0.0
608,1,44,0.0
609,1,53,0.0
610,1,56,0.0
611,1,48,0.0
612,1,52,0.0
613,1,63,0.0
614,1,60,0.0
615,1,44,0.0
616,1,47,0.0
617,1,48,0.0
618,1,64,0.0
619,1,52,0.0
620,1,53,0.0
621,1,59,0.0
622,1,45,0.0
623,1,48,0.0
624,1,45,0.0
625,1,52,0.0
626,1,50,0.0
627,1,48,0.0
628,1,61,0.0
629,1,57,0.0
630,1,42,0.0
631,1,54,0.0
632,1,43,0.0
633,1,56,0.0
634,1,48,0.0
635,1,53,0.0
636,1,54,0.0
637,1,47,0.0
638,1,45,0.0
639,1,55,0.0
640,1,52,0.0
641,1,56,0.0
642,1,52,0.0
643,1,67,0.0
644,1,47,0.0
645,1,55,0.0
646,1,50,0.0
647,1,56,0.0
648,1,62,0.0
649,1,46,0.0
650,1,54,0.0
651,1,54,0.0
652,1,59,0.0
653,1,61,0.0
654,1,45,0.0
655,1,61,0.0
656,1,45,0.0
657,1,54,0.0
658,1,62,0.0
659,1,56,0.0
660,1,42,0.0
661,1,46,0.0
662,1,55,0.0
663,1,49,0.0
664,1,49,0.0
665,1,58,0.0
666,1,54,0.0
667,1,58,0.0
668,1,57,0.0
669,1,48,0.0
670,1,44,0.0
671,1,53,0.0
672,1,55,0.0
673,1,49,0.0
674,1,64,0.0
675,1,55,0.0
676,1,52,0.0
677,1,50,0.0
678,1,50,0.0
679,1,61,0.0
680,1,63,0.0
681,1,54,0.0
682,1,55,0.0
683,1,46,0.0
684,1,63,0.0
685,1,53,0.0
686,1,37,0.0
687,1,56,0.0
688,1,51,0.0
689,1,48,0.0
690,1,51,0.0
691,1,77,0.0
692,1,45,0.0
693,1,56,0.0
694,1,59,0.0
695,1,49,0.0
696,1,37,0.0
697,1,48,0.0
698,1,59,0.0
699,1,64,0.0
700,1,40,0.0
701,1,50,0.0
702,1,46,0.0
703,1,66,0.0
704,1,70,0.0
705,1,48,0.0
706,1,52,0.0
707,1,50,0.0
708,1,49,0.0
709,1,63,0.0
710,1,47,0.0
711,1,58,0.0
712,1,62,0.0
713,1,53,0.0
714,1,50,0.0
715,1,56,0.0
716,1,65,0.0
717,1,46,0.0
718,1,39,0.0
719,1,51,0.0
720,1,64,0.0
721,1,50,0.0
722,1,48,0.0
723,1,52,0.0
724,1,54,0.0
725,1,47,0.0
726,1,50,0.0
727,1,68,0.0
728,1,49,0.0
729,1,46,0.0
730,1,38,0.0
731,1,74,0.0
732,1,46,0.0
733,1,51,0.0
734,1,46,0.0
735,1,49,0.0
736,1,48,0.0
737,1,51,0.0
738,1,60,0.0
739,1,59,0.0
740,1,43,0.0
741,1,46,0.0
742,1,75,0.0
743,1,42,0.0
744,1,42,0.0
745,1,53,0.0
746,1,57,0.0
747,1,49,0.0
748,1,53,0.0
749,1,60,0.0
750,1,57,0.0
751,1,52,0.0
752,1,50,0.0
753,1,52,0.0
754,1,58,0.0
755,1,69,0.0
756,1,44,0.0
757,1,60,0.0
758,1,55,0.0
759,1,58,0.0
760,1,63,0.0
761,1,57,0.0
762,1,45,0.0
763,1,54,0.0
764,1,54,0.0
765,1,46,0.0
766,1,51,0.0
767,1,61,0.0
768,1,56,0.0
769,1,42,0.0
770,1,55,0.0
771,1,52,0.0
772,1,47,0.0
773,1,45,0.0
774,1,59,0.0
775,1,42,0.0
776,1,47,0.0
777,1,48,0.0
778,1,55,0.0
779,1,58,0.0
780,1,47,0.0
781,1,53,0.0
782,1,48,0.0
783,1,55,0.0
784,1,51,0.0
785,1,46,0.0
786,1,49,0.0
787,1,43,0.0
788,1,60,0.0
789,1,55,0.0
790,1,52,0.0
791,1,49,0.0
792,1,52,0.0
793,1,39,0.0
794,1,53,0.0
795,1,50,0.0
796,1,55,0.0
797,1,53,0.0
798,1,47,0.0
799,1,54,0.0
